kaynak            : examples
bölme tohumları   : (11, 22, 33, 44, 55)
eğitim tohumları  : (0, 1, 2)
epoch / batch     : 20 / 64
--balance-by      : core:freq_lower_edge

=== bölme tohumu 11 ===
  train : bpsk_02(-180k), bpsk_04(+280k), qpsk_02(-180k), qpsk_04(+280k)
  val   : bpsk_01(-280k), qpsk_01(-280k)
  test  : bpsk_03(+180k), qpsk_03(+180k)
    [split 44 train 0] epoch  12 kayıp 0.3550 eğitim 0.9688 val 0.5000
    [split 44 train 0] epoch  13 kayıp 0.3002 eğitim 0.9812 val 0.8000
    [split 44 train 0] epoch  14 kayıp 0.2590 eğitim 0.9938 val 0.6937
    [split 44 train 0] epoch  15 kayıp 0.2243 eğitim 0.9938 val 0.4938
    [split 44 train 0] epoch  16 kayıp 0.1884 eğitim 0.9938 val 0.5062
    [split 44 train 0] epoch  17 kayıp 0.1620 eğitim 0.9969 val 0.5000
    [split 44 train 0] epoch  18 kayıp 0.1345 eğitim 0.9938 val 0.5000
    [split 44 train 0] epoch  19 kayıp 0.1173 eğitim 1.0000 val 0.5000
    [split 44 train 0] epoch  20 kayıp 0.0982 eğitim 1.0000 val 0.5000
  -> eğitim tohumu 0: eğitim 100.00%  test 50.62%  (bpsk=1.25%  qpsk=100.00%)
    [split 44 train 1] epoch   1 kayıp 0.7023 eğitim 0.4938 val 0.5000
    [split 44 train 1] epoch   2 kayıp 0.6884 eğitim 0.5219 val 0.5000
    [split 44 train 1] epoch   3 kayıp 0.6757 eğitim 0.5594 val 0.5000
    [split 44 train 1] epoch   4 kayıp 0.6471 eğitim 0.6687 val 0.5000
    [split 44 train 1] epoch   5 kayıp 0.6278 eğitim 0.7625 val 0.5000
    [split 44 train 1] epoch   6 kayıp 0.6084 eğitim 0.7688 val 0.5000
    [split 44 train 1] epoch   7 kayıp 0.5863 eğitim 0.8031 val 0.5375
    [split 44 train 1] epoch   8 kayıp 0.5332 eğitim 0.9156 val 0.5875
    [split 44 train 1] epoch   9 kayıp 0.5035 eğitim 0.9406 val 0.6625
    [split 44 train 1] epoch  10 kayıp 0.4574 eğitim 0.9469 val 0.5500
    [split 44 train 1] epoch  11 kayıp 0.4029 eğitim 0.9719 val 0.6250
    [split 44 train 1] epoch  12 kayıp 0.3545 eğitim 0.9781 val 0.6937
    [split 44 train 1] epoch  13 kayıp 0.3125 eğitim 0.9844 val 0.4938
    [split 44 train 1] epoch  14 kayıp 0.2776 eğitim 0.9812 val 0.5000
    [split 44 train 1] epoch  15 kayıp 0.2542 eğitim 0.9875 val 0.4938
    [split 44 train 1] epoch  16 kayıp 0.1980 eğitim 0.9906 val 0.5000
    [split 44 train 1] epoch  17 kayıp 0.1778 eğitim 0.9969 val 0.5000
    [split 44 train 1] epoch  18 kayıp 0.1523 eğitim 0.9938 val 0.5000
    [split 44 train 1] epoch  19 kayıp 0.1274 eğitim 0.9969 val 0.5000
    [split 44 train 1] epoch  20 kayıp 0.1136 eğitim 1.0000 val 0.5000
  -> eğitim tohumu 1: eğitim 100.00%  test 50.00%  (bpsk=0.00%  qpsk=100.00%)
    [split 44 train 2] epoch   1 kayıp 0.7369 eğitim 0.5000 val 0.5000
    [split 44 train 2] epoch   2 kayıp 0.6763 eğitim 0.5687 val 0.5000
    [split 44 train 2] epoch   3 kayıp 0.6402 eğitim 0.6875 val 0.5000
    [split 44 train 2] epoch   4 kayıp 0.6039 eğitim 0.8063 val 0.5000
    [split 44 train 2] epoch   5 kayıp 0.5722 eğitim 0.7844 val 0.5000
    [split 44 train 2] epoch   6 kayıp 0.5374 eğitim 0.8812 val 0.5000
    [split 44 train 2] epoch   7 kayıp 0.4996 eğitim 0.9219 val 0.5000
    [split 44 train 2] epoch   8 kayıp 0.4579 eğitim 0.9594 val 0.5000
    [split 44 train 2] epoch   9 kayıp 0.4230 eğitim 0.9656 val 0.5000
    [split 44 train 2] epoch  10 kayıp 0.3965 eğitim 0.9500 val 0.5000
    [split 44 train 2] epoch  11 kayıp 0.3532 eğitim 0.9688 val 0.5000
    [split 44 train 2] epoch  12 kayıp 0.3141 eğitim 0.9844 val 0.5000
    [split 44 train 2] epoch  13 kayıp 0.2647 eğitim 0.9906 val 0.5000
    [split 44 train 2] epoch  14 kayıp 0.2385 eğitim 0.9906 val 0.5000
    [split 44 train 2] epoch  15 kayıp 0.1866 eğitim 1.0000 val 0.5000
    [split 44 train 2] epoch  16 kayıp 0.1848 eğitim 0.9969 val 0.5000
    [split 44 train 2] epoch  17 kayıp 0.1575 eğitim 0.9906 val 0.5000
    [split 44 train 2] epoch  18 kayıp 0.1310 eğitim 0.9969 val 0.5000
    [split 44 train 2] epoch  19 kayıp 0.1168 eğitim 0.9938 val 0.5000
    [split 44 train 2] epoch  20 kayıp 0.1047 eğitim 0.9969 val 0.5000
  -> eğitim tohumu 2: eğitim 99.69%  test 50.00%  (bpsk=100.00%  qpsk=0.00%)

=== bölme tohumu 55 ===
