C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:133: DeprecationWarning: SigMFFile.DATATYPE_KEY is deprecated and will be removed in a future version, use sigmf.DATATYPE_KEY
  SigMFFile.DATATYPE_KEY: "cf32_le",
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:134: DeprecationWarning: SigMFFile.SAMPLE_RATE_KEY is deprecated and will be removed in a future version, use sigmf.SAMPLE_RATE_KEY
  SigMFFile.SAMPLE_RATE_KEY: rec.sample_rate,
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:135: DeprecationWarning: SigMFFile.VERSION_KEY is deprecated and will be removed in a future version, use sigmf.VERSION_KEY
  SigMFFile.VERSION_KEY: "1.0.0",
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:136: DeprecationWarning: SigMFFile.DESCRIPTION_KEY is deprecated and will be removed in a future version, use sigmf.DESCRIPTION_KEY
  SigMFFile.DESCRIPTION_KEY: f"LoRaIQ segment from {start}",
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:139: DeprecationWarning: SigMFFile.START_INDEX_KEY is deprecated and will be removed in a future version, use sigmf.SAMPLE_START_KEY or SigMFFile.SAMPLE_START_KEY
  capture = {SigMFFile.START_INDEX_KEY: 0}
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:141: DeprecationWarning: SigMFFile.FREQUENCY_KEY is deprecated and will be removed in a future version, use sigmf.FREQUENCY_KEY
  capture[SigMFFile.FREQUENCY_KEY] = rec.center_frequency
prepared 312 recordings in 15s -> C:\Users\Emre\AppData\Local\Temp\iqforge-loraiq-src-efjawudw
5 strides x 5 split x 3 train x 2 = 150 runs, 20 epochs each
  [ 56/150] stride= 512 recording-level split=99 train=1  test=76.15% train=76.97%  (41s/run, 4172/1820 windows, ~53 min left)
  [ 57/150] stride= 512 recording-level split=99 train=2  test=59.45% train=78.36%  (40s/run, 4172/1820 windows, ~52 min left)
  [ 58/150] stride= 512 window-level    split=99 train=0  test=64.34% train=73.54%  (41s/run, 4173/1820 windows, ~52 min left)
  [ 59/150] stride= 512 window-level    split=99 train=1  test=66.48% train=72.99%  (42s/run, 4173/1820 windows, ~52 min left)
  [ 60/150] stride= 512 window-level    split=99 train=2  test=64.62% train=73.30%  (41s/run, 4173/1820 windows, ~51 min left)
  [ 61/150] stride= 128 recording-level split=42 train=0  test=67.42% train=84.57%  (195s/run, 23408/6832 windows, ~55 min left)
  [ 62/150] stride= 128 recording-level split=42 train=1  test=65.98% train=84.34%  (196s/run, 23408/6832 windows, ~58 min left)
  [ 63/150] stride= 128 recording-level split=42 train=2  test=62.31% train=83.71%  (192s/run, 23408/6832 windows, ~61 min left)
  [ 64/150] stride= 128 window-level    split=42 train=0  test=70.99% train=78.57%  (196s/run, 23408/6832 windows, ~64 min left)
  [ 65/150] stride= 128 window-level    split=42 train=1  test=80.21% train=79.02%  (186s/run, 23408/6832 windows, ~66 min left)
  [ 66/150] stride= 128 window-level    split=42 train=2  test=77.50% train=78.25%  (503s/run, 23408/6832 windows, ~75 min left)
  [ 67/150] stride= 128 recording-level split=7 train=0  test=42.38% train=79.13%  (142s/run, 20720/4592 windows, ~76 min left)
  [ 68/150] stride= 128 recording-level split=7 train=1  test=75.07% train=78.33%  (144s/run, 20720/4592 windows, ~77 min left)
  [ 69/150] stride= 128 recording-level split=7 train=2  test=77.74% train=80.24%  (144s/run, 20720/4592 windows, ~78 min left)
  [ 70/150] stride= 128 window-level    split=7 train=0  test=80.05% train=78.06%  (147s/run, 20720/4591 windows, ~78 min left)
  [ 71/150] stride= 128 window-level    split=7 train=1  test=77.41% train=78.01%  (146s/run, 20720/4591 windows, ~79 min left)
  [ 72/150] stride= 128 window-level    split=7 train=2  test=71.73% train=77.32%  (141s/run, 20720/4591 windows, ~79 min left)
  [ 73/150] stride= 128 recording-level split=1234 train=0  test=61.24% train=84.11%  (129s/run, 20048/8400 windows, ~80 min left)
  [ 74/150] stride= 128 recording-level split=1234 train=1  test=59.61% train=84.33%  (132s/run, 20048/8400 windows, ~80 min left)
  [ 75/150] stride= 128 recording-level split=1234 train=2  test=47.29% train=84.53%  (154s/run, 20048/8400 windows, ~80 min left)
  [ 76/150] stride= 128 window-level    split=1234 train=0  test=77.29% train=77.25%  (148s/run, 20048/8400 windows, ~81 min left)
  [ 77/150] stride= 128 window-level    split=1234 train=1  test=76.68% train=78.63%  (135s/run, 20048/8400 windows, ~81 min left)
  [ 78/150] stride= 128 window-level    split=1234 train=2  test=64.18% train=76.94%  (134s/run, 20048/8400 windows, ~81 min left)
  [ 79/150] stride= 128 recording-level split=2026 train=0  test=68.50% train=88.40%  (127s/run, 18480/8512 windows, ~80 min left)
  [ 80/150] stride= 128 recording-level split=2026 train=1  test=61.03% train=89.22%  (126s/run, 18480/8512 windows, ~80 min left)
  [ 81/150] stride= 128 recording-level split=2026 train=2  test=62.64% train=88.06%  (125s/run, 18480/8512 windows, ~80 min left)
  [ 82/150] stride= 128 window-level    split=2026 train=0  test=69.44% train=77.63%  (126s/run, 18480/8512 windows, ~79 min left)
  [ 83/150] stride= 128 window-level    split=2026 train=1  test=72.06% train=78.11%  (127s/run, 18480/8512 windows, ~79 min left)
  [ 84/150] stride= 128 window-level    split=2026 train=2  test=70.48% train=77.49%  (131s/run, 18480/8512 windows, ~79 min left)
  [ 85/150] stride= 128 recording-level split=99 train=0  test=71.96% train=88.71%  (124s/run, 16688/7280 windows, ~78 min left)
  [ 86/150] stride= 128 recording-level split=99 train=1  test=77.55% train=88.79%  (120s/run, 16688/7280 windows, ~78 min left)
  [ 87/150] stride= 128 recording-level split=99 train=2  test=66.88% train=89.20%  (121s/run, 16688/7280 windows, ~77 min left)
  [ 88/150] stride= 128 window-level    split=99 train=0  test=77.16% train=76.98%  (125s/run, 16688/7280 windows, ~76 min left)
  [ 89/150] stride= 128 window-level    split=99 train=1  test=75.59% train=77.53%  (124s/run, 16688/7280 windows, ~76 min left)
  [ 90/150] stride= 128 window-level    split=99 train=2  test=71.00% train=77.41%  (126s/run, 16688/7280 windows, ~75 min left)
  [ 91/150] stride= 768 recording-level split=42 train=0  test=65.92% train=72.58%  (26s/run, 3971/1159 windows, ~73 min left)
  [ 92/150] stride= 768 recording-level split=42 train=1  test=65.31% train=73.96%  (26s/run, 3971/1159 windows, ~72 min left)
  [ 93/150] stride= 768 recording-level split=42 train=2  test=62.47% train=73.38%  (25s/run, 3971/1159 windows, ~70 min left)
  [ 94/150] stride= 768 window-level    split=42 train=0  test=63.42% train=72.05%  (25s/run, 3971/1159 windows, ~68 min left)
  [ 95/150] stride= 768 window-level    split=42 train=1  test=69.89% train=71.57%  (30s/run, 3971/1159 windows, ~66 min left)
  [ 96/150] stride= 768 window-level    split=42 train=2  test=70.92% train=71.44%  (25s/run, 3971/1159 windows, ~65 min left)
  [ 97/150] stride= 768 recording-level split=7 train=0  test=73.56% train=67.37%  (24s/run, 3515/779 windows, ~63 min left)
  [ 98/150] stride= 768 recording-level split=7 train=1  test=75.22% train=67.37%  (24s/run, 3515/779 windows, ~62 min left)
  [ 99/150] stride= 768 recording-level split=7 train=2  test=74.33% train=67.45%  (24s/run, 3515/779 windows, ~60 min left)
  [100/150] stride= 768 window-level    split=7 train=0  test=70.22% train=72.43%  (24s/run, 3515/779 windows, ~58 min left)
